Sa=0.8g,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20
IDR1,0.020902167,0.030777156,0.023580089,0.059448678,0.034762689,0.030777156,0.025409933,0.014656978,0.059726222,0.075948333,0.020625489,0.0163162,0.041536011,0.033690233,0.016116778,0.017339833,0.031250889,0.030037,0.053590844,0.017120867
IDR2,0.019360718,0.028265013,0.018074282,0.052832679,0.028110346,0.028265013,0.023264744,0.014706667,0.051741378,0.068456731,0.018241077,0.016195269,0.030857769,0.033005321,0.014823641,0.017951769,0.028027077,0.026903359,0.045617974,0.014990756
IDR3,0.011502026,0.021154756,0.014736359,0.014459744,0.021431128,0.021154756,0.009438038,0.009306192,0.031905769,0.023778205,0.016265333,0.009295667,0.025030423,0.020620859,0.010617577,0.015268064,0.010953064,0.017914705,0.021541154,0.010692397
IDR4,0.004027692,0.010860846,0.007660956,0.007935577,0.011940641,0.010860846,0.0042405,0.003775064,0.010385577,0.007304327,0.013563038,0.004888897,0.015686308,0.005719359,0.005264346,0.010579885,0.004629141,0.006363885,0.004810897,0.007757141
RIDR1,0.002993969,0.003488588,0.011901189,0.046152611,0.020720444,0.003488588,0.013651622,0.001534861,0.048825569,0.069763611,0.003734057,0.001416825,0.022272699,0.021342478,0.000472393,0.005114893,0.012569809,0.010979648,0.032197456,0.002297434
RIDR2,0.002516803,0.002723215,0.007756365,0.03883975,0.015376628,0.002723215,0.011507827,0.001411787,0.042239712,0.061840865,0.002825419,0.001035316,0.012697205,0.019149968,0.000474869,0.004650754,0.010650658,0.009706395,0.027817077,0.001525338
RIDR3,0.001079033,0.004641831,0.004866929,0.00501466,0.009595308,0.004641831,0.00302325,0.000930708,0.025444872,0.018211538,0.002734336,0.000669211,0.008994631,0.010489429,0.00035079,0.003969564,0.002783846,0.006133154,0.011151756,0.000585385
RIDR4,0.000160102,0.002467522,0.001049468,0.000272244,0.004647026,0.002467522,0.000461077,0.000180933,0.00354984,0.00174391,0.002721875,0.000129758,0.005329602,0.001131635,0.000146592,0.002588571,0.000469641,0.001084187,0.001235981,0.000375853
PFA1,0.375177632,0.88838663,1.327942875,1.90125834,1.085234188,0.88838663,0.838318828,0.461126554,0.71919952,1.135829747,1.411324302,1.033342395,1.57486882,0.589679491,0.591207215,0.460660767,0.366423482,1.169765388,0.380619628,0.84625886
PFA2,0.333409074,0.995038221,0.964966458,2.09324169,1.136867215,0.995038221,0.735728947,0.367701632,0.842505963,1.185811863,1.47460906,1.155359529,1.373203632,0.591900838,0.529249008,0.630866881,0.6802805,1.733049627,0.466044696,1.424113109
PFA3,0.311219673,0.839722072,0.680929019,2.333906461,1.125737091,0.839722072,0.688271593,0.337930515,0.623960483,0.852497214,1.090969826,1.026871692,1.044276759,0.406559301,0.460471409,0.560621295,0.579296414,1.128346804,0.388381236,0.954700191
PFA4,0.303272583,0.645670294,0.67874794,1.773099007,0.911120495,0.645670294,0.402479044,0.323982791,0.531394634,0.827530112,0.678662405,0.899440118,0.775408087,0.432952894,0.399074378,0.47952014,0.430974053,0.871619868,0.417235121,0.602032108
PFA5,0.392276601,0.730859836,0.661913927,1.472351114,0.958074894,0.730859836,0.605616776,0.413773132,0.740761122,0.901523441,0.897723446,0.883051094,1.036121314,0.494784151,0.515539356,0.659463613,0.474382,1.256942182,0.434508426,1.00218141
