Sa=1.6g,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20
IDR1,0.049890344,NaN,0.043553956,NaN,0.115102778,NaN,0.053293211,0.031487711,NaN,NaN,NaN,0.026026678,NaN,NaN,0.043259044,0.031525078,NaN,NaN,NaN,0.041553156
IDR2,0.047512397,NaN,0.033505962,NaN,0.060928846,NaN,0.046965756,0.028838744,NaN,NaN,NaN,0.0303455,NaN,NaN,0.037158192,0.036282526,NaN,NaN,NaN,0.037769269
IDR3,0.027832949,NaN,0.02583191,NaN,0.033415812,NaN,0.019772564,0.014052051,NaN,NaN,NaN,0.027485821,NaN,NaN,0.016017821,0.031720513,NaN,NaN,NaN,0.02657309
IDR4,0.005798462,NaN,0.012473564,NaN,0.017735897,NaN,0.010372487,0.005405513,NaN,NaN,NaN,0.014266282,NaN,NaN,0.006088974,0.019801154,NaN,NaN,NaN,0.021678487
RIDR1,0.038233728,NaN,0.032261944,NaN,0.106457315,NaN,0.046522311,0.018602072,NaN,NaN,NaN,0.001394331,NaN,NaN,0.026891278,0.022122844,NaN,NaN,NaN,0.004503438
RIDR2,0.034022397,NaN,0.022586551,NaN,0.054370406,NaN,0.03933184,0.016196481,NaN,NaN,NaN,0.00143877,NaN,NaN,0.022155609,0.021810455,NaN,NaN,NaN,0.002773098
RIDR3,0.018004551,NaN,0.014311968,NaN,0.027440705,NaN,0.010728462,0.00644291,NaN,NaN,NaN,0.001063343,NaN,NaN,0.007822256,0.01836341,NaN,NaN,NaN,0.00128691
RIDR4,0.001535256,NaN,0.005573654,NaN,0.012808654,NaN,0.004071923,0.001310609,NaN,NaN,NaN,5.19E-05,NaN,NaN,0.001589532,0.00979884,NaN,NaN,NaN,0.000868638
PFA1,0.750380211,NaN,2.655876259,NaN,2.170463213,NaN,1.676637656,0.922237173,NaN,NaN,NaN,2.066667546,NaN,NaN,1.182409402,0.921356266,NaN,NaN,NaN,1.692495689
PFA2,0.624465189,NaN,1.871904146,NaN,1.949157437,NaN,1.31772835,0.672164925,NaN,NaN,NaN,2.355360804,NaN,NaN,0.843255745,1.218007483,NaN,NaN,NaN,2.028031709
PFA3,0.485888891,NaN,1.233629724,NaN,1.4945471,NaN,1.138426468,0.488091171,NaN,NaN,NaN,2.327835515,NaN,NaN,0.689050624,0.991745413,NaN,NaN,NaN,1.318074605
PFA4,0.431300472,NaN,0.828918435,NaN,1.274624666,NaN,0.771898498,0.528506267,NaN,NaN,NaN,1.848813936,NaN,NaN,0.574546361,0.645581511,NaN,NaN,NaN,1.039586358
PFA5,0.57363463,NaN,1.066121188,NaN,1.585864461,NaN,0.982989217,0.624376677,NaN,NaN,NaN,2.174798541,NaN,NaN,0.68601419,0.996199407,NaN,NaN,NaN,1.407816036
