Sa=1.2g,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20
IDR1,0.036543978,0.062406878,0.035177533,NaN,0.066560444,0.062406878,0.037870467,0.023731244,NaN,NaN,0.046325733,0.0187868,NaN,0.061916867,0.032872033,0.025389478,NaN,0.086315,NaN,0.025084611
IDR2,0.034563641,0.050189333,0.027982705,NaN,0.044061923,0.050189333,0.035388513,0.021388487,NaN,NaN,0.027435577,0.023439103,NaN,0.055579615,0.029536936,0.030749192,NaN,0.069508333,NaN,0.022529821
IDR3,0.020664744,0.039131667,0.022109744,NaN,0.029965513,0.039131667,0.013137192,0.012561282,NaN,NaN,0.021349538,0.018833718,NaN,0.028343974,0.015547026,0.02639041,NaN,0.020315737,NaN,0.019144154
IDR4,0.004907179,0.011344808,0.010134333,NaN,0.015596923,0.011344808,0.0071285,0.004730256,NaN,NaN,0.01377359,0.009075359,NaN,0.0112424,0.0234235,0.018854615,NaN,0.023251,NaN,0.01614791
RIDR1,0.020218533,0.048569844,0.024197717,NaN,0.056186944,0.048569844,0.028211106,0.009360356,NaN,NaN,0.026063756,0.002142214,NaN,0.054689483,0.014697678,0.014957917,NaN,0.060155292,NaN,0.000800609
RIDR2,0.018060635,0.034769686,0.016691244,NaN,0.033868135,0.034769686,0.024358949,0.008195147,NaN,NaN,0.01368109,0.001949736,NaN,0.046793955,0.012454628,0.015363763,NaN,0.047054327,NaN,0.001229953
RIDR3,0.009805955,0.025187269,0.01131675,NaN,0.020688654,0.025187269,0.005791224,0.004276647,NaN,NaN,0.007167462,0.001892043,NaN,0.020427179,0.006235481,0.013533397,NaN,0.003600593,NaN,0.00144416
RIDR4,0.000922128,0.003228526,0.003776353,NaN,0.009863846,0.003228526,0.002010699,0.000812218,NaN,NaN,0.005604821,0.000574729,NaN,0.002335256,0.001287186,0.008631865,NaN,0.000762452,NaN,0.001593109
PFA1,0.562778922,1.332584045,1.991895332,NaN,1.62784741,1.332584045,1.257478242,0.691687175,NaN,NaN,2.116983704,1.55000497,NaN,0.884526534,0.886808309,0.690991151,NaN,1.754648082,NaN,1.269377275
PFA2,0.437565011,1.300465976,1.642766253,NaN,1.524865662,1.300465976,1.06272383,0.575029596,NaN,NaN,1.669649047,1.83101101,NaN,0.918972092,0.845537573,0.986364052,NaN,2.300718846,NaN,1.906344398
PFA3,0.349507811,1.081872213,0.992435932,NaN,1.312623723,1.081872213,1.01347882,0.4214533,NaN,NaN,1.336603726,1.619243423,NaN,0.520497389,0.524827373,0.821153988,NaN,1.42044131,NaN,1.044213766
PFA4,0.344360031,0.687656117,0.618713158,NaN,1.29766916,0.687656117,0.537712556,0.404399272,NaN,NaN,1.133319275,1.197762459,NaN,0.49056018,0.496391608,0.627285717,NaN,1.360361704,NaN,0.817934161
PFA5,0.441791969,0.867597941,0.847028424,NaN,1.238171304,0.867597941,0.933259842,0.505771347,NaN,NaN,1.139300225,1.324153985,NaN,0.588845767,0.532488721,0.902259032,NaN,1.590258837,NaN,1.367126905
